a	a˧˧
a-léc	a˧˧-lɛk˦˥
a-lê	a˧˧-le˧˧
a-lê hấp	a˧˧-le˧˧hɤ̆p˦˥
a-lô	a˧˧-lo˧˧
a-ma-tơ	a˧˧-ma˧˧-tɤ˧˧
a-mam	a˧˧-mam˧˧
a-me-ri-xi	a˧˧-mɛ˧˧-zi˧˧-si˧˧
a-men	a˧˧-mɛn˧˧
a-mi	a˧˧-mi˧˧
a-mi-nô a-xít	a˧˧-mi˧˧-no˧˧a˧˧-sit˦˥
a-mi-ăng	a˧˧-mi˧˧-ăŋ˧˧
a-mi-đan	a˧˧-mi˧˧-dan˧˧
a-min	a˧˧-min˧˧
a-míp	a˧˧-mip˦˥
a-mô-ni-ác	a˧˧-mo˧˧-ni˧˧-ak˦˥
a-mô-ni-ắc	a˧˧-mo˧˧-ni˧˧-ăk˦˥
a-măng	a˧˧-măŋ˧˧
a-nan-gin	a˧˧-nan˧˧-zin˧˧
a-ni-lin	a˧˧-ni˧˧-lin˧˧
a-ni-ôn	a˧˧-ni˧˧-on˧˧
a-ni-ông	a˧˧-ni˧˧-oŋ͡m˧˧
a-nô-phen	a˧˧-no˧˧-fɛn˧˧
a-nốt	a˧˧-not˦˥
a-pa-tít	a˧˧-pa˧˧-tit˦˥
a-pác-thai	a˧˧-pak˦˥-tʰaj˧˧
a-pê-ri-típ	a˧˧-pe˧˧-zi˧˧-tip˦˥
a-rập học	a˧˧-zɤ̆p˨ˀ˩hɔk͡p˨ˀ˩
a-sen	a˧˧-sɛn˧˧
a-ta-tin	a˧˧-ta˧˧-tin˧˧
a-ti-sô	a˧˧-ti˧˧-so˧˧
a-trô-pin	a˧˧-co˧˧-pin˧˧
a-tu-la	a˧˧-tu˧˧-la˧˧
a-tua-đờ-rôn	a˧˧-tuə˧˧-dɤ˧˨-zon˧˧
a-vi	a˧˧-vi˧˧
a-vô-ca	a˧˧-vo˧˧-ka˧˧
a-văng	a˧˧-văŋ˧˧
a-văng-ta	a˧˧-văŋ˧˧-ta˧˧
a-văng-xê	a˧˧-văŋ˧˧-se˧˧
a-xen	a˧˧-sɛn˧˧
a-xit	a˧˧-sit˧˧
a-xê-ti-len	a˧˧-se˧˧-ti˧˧-lɛn˧˧
a-xê-ti-len lỏng	a˧˧-se˧˧-ti˧˧-lɛn˧˧lɔŋ͡m˧˩˨
a-xê-ton	a˧˧-se˧˧-tɔn˧˧
a-xê-tôn	a˧˧-se˧˧-ton˧˧
a-xít	a˧˧-sit˦˥
a-xít a-min	a˧˧-sit˦˥a˧˧-min˧˧
a-xít a-xê-tic	a˧˧-sit˦˥a˧˧-se˧˧-tik˧˧
a-xít béo	a˧˧-sit˦˥beo˨˦
a-xít các-bon-nic	a˧˧-sit˦˥kak˦˥-bɔn˧˧-nik˧˧
a-xít lác-tíc	a˧˧-sit˦˥lak˦˥-tik˦˥
a-xít lưu huỳnh	a˧˧-sit˦˥lɯw˧˧hwiŋ˧˨
a-xít đường	a˧˧-sit˦˥dɯəŋ˧˨
a-đa	a˧˧-da˧˧
a-đam	a˧˧-dam˧˧
a-đi-xơn	a˧˧-di˧˧-sɤn˧˧
ai	aj˧˧
ai ai	aj˧˧aj˧˧
ai bi	aj˧˧bi˧˧
ai biết phận nấy	aj˧˧biət˦˥fɤ̆n˨ˀ˩ʔnɤ̆j˨˦
ai biết đâu	aj˧˧biət˦˥dɤ̆w˧˧
ai bảo	aj˧˧baw˧˩˨
ai chỉ	aj˧˧ci˧˩˨
ai cảm	aj˧˧kam˧˩˨
ai cập học	aj˧˧kɤ̆p˨ˀ˩hɔk͡p˨ˀ˩
ai cắt rốn cho	aj˧˧kăt˦˥zon˨˦cɔ˧˧
ai dà	aj˧˧za˧˨
ai dè	aj˧˧zɛ˧˨
ai hoài	aj˧˧hwaj˧˨
ai khiến	aj˧˧xiən˨˦
ai khảo mà xưng	aj˧˧xaw˧˩˨ma˧˨sɯŋ˧˧
ai lại	aj˧˧laj˨ˀ˩ʔ
ai mà	aj˧˧ma˧˨
ai mượn	aj˧˧mɯən˨ˀ˩ʔ
ai ngờ	aj˧˧ŋɤ˧˨
ai nấy	aj˧˧nɤ̆j˨˦
ai oán	aj˧˧wan˨˦
ai tư vãn	aj˧˧tɯ˧˧van˧ˀ˥
ai tử	aj˧˧tɯ˧˩˨
ai điếu	aj˧˧diəw˨˦
ai đời	aj˧˧dɤj˧˨
am	am˧˧
am hiểu	am˧˧hiəw˧˩˨
am mây	am˧˧mɤ̆j˧˧
am thanh cảnh vắng	am˧˧tʰɛŋ˧˧kɛŋ˧˩˨văŋ˨˦
am tường	am˧˧tɯəŋ˧˨
am tự	am˧˧tɯ˨ˀ˩ʔ
am váp	am˧˧vap˦˥
am đồng	am˧˧doŋ͡m˧˨
am-mô-ni-ắc	am˧˧-mo˧˧-ni˧˧-ăk˦˥
am-pe	am˧˧-pɛ˧˧
am-pe giờ	am˧˧-pɛ˧˧zɤ˧˨
am-pe kế	am˧˧-pɛ˧˧ke˨˦
am-pun	am˧˧-pun˧˧
an	an˧˧
an bang	an˧˧baŋ˧˧
an biên	an˧˧biən˧˧
an bài	an˧˧baj˧˨
an bá	an˧˧ba˨˦
an bình	an˧˧biŋ˧˨
an bình a	an˧˧biŋ˧˨a˧˧
an bình tây	an˧˧biŋ˧˨tɤ̆j˧˧
an bần	an˧˧bɤ̆n˧˨
an bần lạc đạo	an˧˧bɤ̆n˧˨lak˨ˀ˩daw˨ˀ˩ʔ
an bồi	an˧˧boj˧˨
an châu	an˧˧cɤ̆w˧˧
an chấn	an˧˧cɤ̆n˨˦
an cư	an˧˧kɯ˧˧
an cư lạc nghiệp	an˧˧kɯ˧˧lak˨ˀ˩ŋiəp˨ˀ˩
an cầu	an˧˧kɤ̆w˧˨
an cựu	an˧˧kɯw˨ˀ˩ʔ
an dân	an˧˧zɤ̆n˧˧
an dũng	an˧˧zuŋ͡m˧ˀ˥
an dương	an˧˧zɯəŋ˧˧
an dương vương	an˧˧zɯəŋ˧˧vɯəŋ˧˧
an dưỡng	an˧˧zɯəŋ˧ˀ˥
an dưỡng đường	an˧˧zɯəŋ˧ˀ˥dɯəŋ˧˨
an dạ	an˧˧za˨ˀ˩ʔ
an dật	an˧˧zɤ̆t˨ˀ˩
an dục	an˧˧zuk͡p˨ˀ˩
an giang	an˧˧zaŋ˧˧
an giấc	an˧˧zɤ̆k˦˥
an giấc nghìn thu	an˧˧zɤ̆k˦˥ŋin˧˨tʰu˧˧
an giấc ngàn thu	an˧˧zɤ̆k˦˥ŋan˧˨tʰu˧˧
an hiệp	an˧˧hiəp˨ˀ˩
an hoà	an˧˧hwa˧˨
an hoà tây	an˧˧hwa˧˨tɤ̆j˧˧
an hoá	an˧˧hwa˨˦
an hà	an˧˧ha˧˨
an hùng	an˧˧huŋ͡m˧˨
an hưng	an˧˧hɯŋ˧˧
an hưởng	an˧˧hɯəŋ˧˩˨
an hải	an˧˧haj˧˩˨
an hải bắc	an˧˧haj˧˩˨băk˦˥
an hải tây	an˧˧haj˧˩˨tɤ̆j˧˧
an hải đông	an˧˧haj˧˩˨doŋ͡m˧˧
an hảo	an˧˧haw˧˩˨
an hồng	an˧˧hoŋ͡m˧˨
an hội	an˧˧hoj˨ˀ˩ʔ
an hữu	an˧˧hɯw˧ˀ˥
an khang	an˧˧xaŋ˧˧
an khánh	an˧˧xɛŋ˨˦
an khê	an˧˧xe˧˧
an khương	an˧˧xɯəŋ˧˧
an long	an˧˧lɔŋ͡m˧˧
an lành	an˧˧lɛŋ˧˨
an lâm	an˧˧lɤ̆m˧˧
an lão	an˧˧law˧ˀ˥
an lĩnh	an˧˧liŋ˧ˀ˥
an lư	an˧˧lɯ˧˧
an lưu	an˧˧lɯw˧˧
an lương	an˧˧lɯəŋ˧˧
an lạc	an˧˧lak˨ˀ˩
an lạc thôn	an˧˧lak˨ˀ˩tʰon˧˧
an lạc tây	an˧˧lak˨ˀ˩tɤ̆j˧˧
an lập	an˧˧lɤ̆p˨ˀ˩
an lễ	an˧˧le˧ˀ˥
an lộc	an˧˧lok͡p˨ˀ˩
an lợi đông	an˧˧lɤj˨ˀ˩ʔdoŋ͡m˧˧
an lục	an˧˧luk͡p˨ˀ˩
an minh	an˧˧miŋ˧˧
an minh bắc	an˧˧miŋ˧˧băk˦˥
an mỹ	an˧˧mi˧ˀ˥
an nghiệp	an˧˧ŋiəp˨ˀ˩
an nghĩa	an˧˧ŋiə˧ˀ˥
an nghỉ	an˧˧ŋi˧˩˨
an ngãi	an˧˧ŋaj˧ˀ˥
an ngãi trung	an˧˧ŋaj˧ˀ˥cuŋ͡m˧˧
an ngãi tây	an˧˧ŋaj˧ˀ˥tɤ̆j˧˧
an nhiên	an˧˧ɲiən˧˧
an nhiên tự tại	an˧˧ɲiən˧˧tɯ˨ˀ˩ʔtaj˨ˀ˩ʔ
an nhàn	an˧˧ɲan˧˨
an nhơn	an˧˧ɲɤn˧˧
an nhơn tây	an˧˧ɲɤn˧˧tɤ̆j˧˧
an nhựt tân	an˧˧ɲɯt˨ˀ˩tɤ̆n˧˧
an ninh	an˧˧niŋ˧˧
an ninh tây	an˧˧niŋ˧˧tɤ̆j˧˧
an ninh đông	an˧˧niŋ˧˧doŋ͡m˧˧
an nông	an˧˧noŋ͡m˧˧
an nội	an˧˧noj˨ˀ˩ʔ
an phong	an˧˧fɔŋ͡m˧˧
an phú	an˧˧fu˨˦
an phú thuận	an˧˧fu˨˦tʰwɤ̆n˨ˀ˩ʔ
an phú trung	an˧˧fu˨˦cuŋ͡m˧˧
an phú tân	an˧˧fu˨˦tɤ̆n˧˧
an phú tây	an˧˧fu˨˦tɤ̆j˧˧
an phú đông	an˧˧fu˨˦doŋ͡m˧˧
an phúc	an˧˧fuk͡p˦˥
an phước	an˧˧fɯək˦˥
an phận	an˧˧fɤ̆n˨ˀ˩ʔ
an phận thủ kỉ	an˧˧fɤ̆n˨ˀ˩ʔtʰu˧˩˨ki˧˩˨
an phận thủ thường	an˧˧fɤ̆n˨ˀ˩ʔtʰu˧˩˨tʰɯəŋ˧˨
an phụ	an˧˧fu˨ˀ˩ʔ
an quang	an˧˧kwaŋ˧˧
an quy	an˧˧kwi˧˧
an quý	an˧˧kwi˨˦
an quảng hữu	an˧˧kwaŋ˧˩˨hɯw˧ˀ˥
an sinh	an˧˧siŋ˧˧
an sơn	an˧˧sɤn˧˧
an thai	an˧˧tʰaj˧˧
an thanh	an˧˧tʰɛŋ˧˧
an thuận	an˧˧tʰwɤ̆n˨ˀ˩ʔ
an thuỷ	an˧˧tʰwi˧˩˨
an thành	an˧˧tʰɛŋ˧˨
an thái	an˧˧tʰaj˨˦
an thái trung	an˧˧tʰaj˨˦cuŋ͡m˧˧
an thái đông	an˧˧tʰaj˨˦doŋ͡m˧˧
an thân	an˧˧tʰɤ̆n˧˧
an thân thủ phận	an˧˧tʰɤ̆n˧˧tʰu˧˩˨fɤ̆n˨ˀ˩ʔ
an thương	an˧˧tʰɯəŋ˧˧
an thường thủ phận	an˧˧tʰɯəŋ˧˨tʰu˧˩˨fɤ̆n˨ˀ˩ʔ
an thượng	an˧˧tʰɯəŋ˨ˀ˩ʔ
an thạch	an˧˧tʰɛk˨ˀ˩
an thạnh	an˧˧tʰɛŋ˨ˀ˩ʔ
an thạnh thuỷ	an˧˧tʰɛŋ˨ˀ˩ʔtʰwi˧˩˨
an thạnh trung	an˧˧tʰɛŋ˨ˀ˩ʔcuŋ͡m˧˧
an thần	an˧˧tʰɤ̆n˧˨
an thắng	an˧˧tʰăŋ˨˦
an thịnh	an˧˧tʰiŋ˨ˀ˩ʔ
an thọ	an˧˧tʰɔ˨ˀ˩ʔ
an thới	an˧˧tʰɤj˨˦
an thới đông	an˧˧tʰɤj˨˦doŋ͡m˧˧
an tiêm	an˧˧tiəm˧˧
an tiến	an˧˧tiən˨˦
an toàn	an˧˧twan˧˨
an toàn khu	an˧˧twan˧˨xu˧˧
an toàn lao động	an˧˧twan˧˨law˧˧doŋ͡m˨ˀ˩ʔ
an toạ	an˧˧twa˨ˀ˩ʔ
an trung	an˧˧cuŋ͡m˧˧
an tràng	an˧˧caŋ˧˨
an trí	an˧˧ci˨˦
an trường	an˧˧cɯəŋ˧˨
an trường a	an˧˧cɯəŋ˧˨a˧˧
an trạch	an˧˧cɛk˨ˀ˩
an táng	an˧˧taŋ˨˦
an tâm	an˧˧tɤ̆m˧˧
an tân	an˧˧tɤ̆n˧˧
an tây	an˧˧tɤ̆j˧˧
an tĩnh	an˧˧tiŋ˧ˀ˥
an tường	an˧˧tɯəŋ˧˨
an tịnh	an˧˧tiŋ˨ˀ˩ʔ
an tọa	an˧˧twa˨ˀ˩ʔ
an tức hương	an˧˧tɯk˦˥hɯəŋ˧˧
an uỷ	an˧˧wi˧˩˨
an vinh	an˧˧viŋ˧˧
an viên	an˧˧viən˧˧
an viễn	an˧˧viən˧ˀ˥
an vĩ	an˧˧vi˧ˀ˥
an vĩnh ngãi	an˧˧viŋ˧ˀ˥ŋaj˧ˀ˥
an vũ	an˧˧vu˧ˀ˥
an vị	an˧˧vi˨ˀ˩ʔ
an xuyên	an˧˧swiən˧˧
an xuân	an˧˧swɤ̆n˧˧
an điền	an˧˧diən˧˨
an đô	an˧˧do˧˧
an đôn phác	an˧˧don˧˧fak˦˥
an đạo	an˧˧daw˨ˀ˩ʔ
an định	an˧˧diŋ˨ˀ˩ʔ
an đồng	an˧˧doŋ͡m˧˨
an đức	an˧˧dɯk˦˥
an đức tây	an˧˧dɯk˦˥tɤ̆j˧˧
an ấp	an˧˧ɤ̆p˦˥
an ổn	an˧˧on˧˩˨
an ủi	an˧˧uj˧˩˨
an-bom	an˧˧-bɔm˧˧
an-bu-min	an˧˧-bu˧˧-min˧˧
an-ca-lo-ít	an˧˧-ka˧˧-lɔ˧˧-it˦˥
an-ca-lô-ít	an˧˧-ka˧˧-lo˧˧-it˦˥
an-côn	an˧˧-kon˧˧
an-gin	an˧˧-zin˧˧
an-go-rít	an˧˧-ɣɔ˧˧-zit˦˥
an-gô-rít	an˧˧-ɣo˧˧-zit˦˥
an-két	an˧˧-kɛt˦˥
an-ma-nác	an˧˧-ma˧˧-nak˦˥
an-pha	an˧˧-fa˧˧
an-pha-bê	an˧˧-fa˧˧-be˧˧
an-te	an˧˧-tɛ˧˧
an-ten	an˧˧-tɛn˧˧
an-ti-mon	an˧˧-ti˧˧-mɔn˧˧
an-ti-pi-rin	an˧˧-ti˧˧-pi˧˧-zin˧˧
an-tra-xít	an˧˧-ca˧˧-sit˦˥
an-tô	an˧˧-to˧˧
an-tơ-ra-xít	an˧˧-tɤ˧˧-za˧˧-sit˦˥
an-đe-hít	an˧˧-dɛ˧˧-hit˦˥
an-đê-hít	an˧˧-de˧˧-hit˦˥
ang	aŋ˧˧
ang áng	aŋ˧˧aŋ˨˦
anh	ɛŋ˧˧
anh chàng	ɛŋ˧˧caŋ˧˨
anh chị	ɛŋ˧˧ci˨ˀ˩ʔ
anh chị em	ɛŋ˧˧ci˨ˀ˩ʔɛm˧˧
anh cả	ɛŋ˧˧ka˧˩˨
anh danh	ɛŋ˧˧zɛŋ˧˧
anh dũng	ɛŋ˧˧zuŋ͡m˧ˀ˥
anh em	ɛŋ˧˧ɛm˧˧
anh em cọc chèo	ɛŋ˧˧ɛm˧˧kɔk͡p˨ˀ˩ceo˧˨
anh em thúc bá	ɛŋ˧˧ɛm˧˧tʰuk͡p˦˥ba˨˦
anh giai	ɛŋ˧˧zaj˧˧
anh hai	ɛŋ˧˧haj˧˧
anh hoa	ɛŋ˧˧hwa˧˧
anh hài	ɛŋ˧˧haj˧˨
anh hào	ɛŋ˧˧haw˧˨
anh hùng	ɛŋ˧˧huŋ͡m˧˨
anh hùng bạt tuỵ	ɛŋ˧˧huŋ͡m˧˨bat˨ˀ˩twi˨ˀ˩ʔ
anh hùng ca	ɛŋ˧˧huŋ͡m˧˨ka˧˧
anh hùng chủ nghĩa	ɛŋ˧˧huŋ͡m˧˨cu˧˩˨ŋiə˧ˀ˥
anh hùng cá nhân	ɛŋ˧˧huŋ͡m˧˨ka˨˦ɲɤ̆n˧˧
anh hùng cái thế	ɛŋ˧˧huŋ͡m˧˨kaj˨˦tʰe˨˦
anh hùng hào kiệt	ɛŋ˧˧huŋ͡m˧˨haw˧˨kiət˨ˀ˩
anh hùng không đất dụng võ	ɛŋ˧˧huŋ͡m˧˨xoŋ͡m˧˧dɤ̆t˦˥zuŋ͡m˨ˀ˩ʔvɔ˧ˀ˥
anh hùng lao động	ɛŋ˧˧huŋ͡m˧˨law˧˧doŋ͡m˨ˀ˩ʔ
anh hùng lực lượng vũ trang	ɛŋ˧˧huŋ͡m˧˨lɯk˨ˀ˩lɯəŋ˨ˀ˩ʔvu˧ˀ˥caŋ˧˧
anh hùng mạt lộ	ɛŋ˧˧huŋ͡m˧˨mat˨ˀ˩lo˨ˀ˩ʔ
anh hùng một khoảnh	ɛŋ˧˧huŋ͡m˧˨mot˨ˀ˩xwɛŋ˧˩˨
anh hùng nhất khoảnh	ɛŋ˧˧huŋ͡m˧˨ɲɤ̆t˦˥xwɛŋ˧˩˨
anh hùng rơm	ɛŋ˧˧huŋ͡m˧˨zɤm˧˧
anh hùng tương ngộ	ɛŋ˧˧huŋ͡m˧˨tɯəŋ˧˧ŋo˨ˀ˩ʔ
anh hùng tạo thời thế	ɛŋ˧˧huŋ͡m˧˨taw˨ˀ˩ʔtʰɤj˧˨tʰe˨˦
anh họ	ɛŋ˧˧hɔ˨ˀ˩ʔ
anh kim	ɛŋ˧˧kim˧˧
anh kiệt	ɛŋ˧˧kiət˨ˀ˩
anh linh	ɛŋ˧˧liŋ˧˧
anh lùn xem hội	ɛŋ˧˧lun˧˨sɛm˧˧hoj˨ˀ˩ʔ
anh minh	ɛŋ˧˧miŋ˧˧
anh mù dạy anh lòa	ɛŋ˧˧mu˧˨zăj˨ˀ˩ʔɛŋ˧˧lwa˧˨
anh ngữ	ɛŋ˧˧ŋɯ˧ˀ˥
anh nhi	ɛŋ˧˧ɲi˧˧
anh nhuệ	ɛŋ˧˧ɲwe˨ˀ˩ʔ
anh nuôi	ɛŋ˧˧nuəj˧˧
anh quân	ɛŋ˧˧kwɤ̆n˧˧
anh ruột	ɛŋ˧˧zuət˨ˀ˩
anh rể	ɛŋ˧˧ze˧˩˨
anh sơn	ɛŋ˧˧sɤn˧˧
anh thư	ɛŋ˧˧tʰɯ˧˧
anh trai	ɛŋ˧˧caj˧˧
anh tuấn	ɛŋ˧˧twɤ̆n˨˦
anh tài	ɛŋ˧˧taj˧˨
anh tú	ɛŋ˧˧tu˨˦
anh túc	ɛŋ˧˧tuk͡p˦˥
anh túc xác	ɛŋ˧˧tuk͡p˦˥sak˦˥
anh tử túc	ɛŋ˧˧tɯ˧˩˨tuk͡p˦˥
anh văn	ɛŋ˧˧văn˧˧
anh vũ	ɛŋ˧˧vu˧ˀ˥
anh yến	ɛŋ˧˧iɛn˨˦
anh ách	ɛŋ˧˧ɛk˦˥
anh ánh	ɛŋ˧˧ɛŋ˨˦
anh đào	ɛŋ˧˧daw˧˨
anh-te	ɛŋ˧˧-tɛ˧˧
anh-te-phôn	ɛŋ˧˧-tɛ˧˧-fon˧˧
anh-te-ruýp-tơ	ɛŋ˧˧-tɛ˧˧-zwip˦˥-tɤ˧˧
ao	aw˧˧
ao chuôm	aw˧˧cuəm˧˧
ao có bờ, sông có bến	aw˧˧kɔ˨˦bɤ˧˨soŋ͡m˧˧kɔ˨˦ben˨˦
ao hồ	aw˧˧ho˧˨
ao không cá, đá không màu	aw˧˧xoŋ͡m˧˧ka˨˦da˨˦xoŋ͡m˧˧măw˧˨
ao liền ruộng cả	aw˧˧liən˧˨zuəŋ˨ˀ˩ʔka˧˩˨
ao sâu nước cả	aw˧˧sɤ̆w˧˧nɯək˦˥ka˧˩˨
ao sâu tốt cá	aw˧˧sɤ̆w˧˧tot˦˥ka˨˦
ao tù	aw˧˧tu˧˨
ao tù nước đọng	aw˧˧tu˧˨nɯək˦˥dɔŋ͡m˨ˀ˩ʔ
ao ước	aw˧˧ɯək˦˥
ao ảo	aw˧˧aw˧˩˨
ao-xơ	aw˧˧-sɤ˧˧
au	ăw˧˧
au au	ăw˧˧ăw˧˧
au-xơ	ăw˧˧-sɤ˧˧
ay áy	ăj˧˧ăj˨˦
ba	ba˧˧
ba ba	ba˧˧ba˧˧
ba ba ấp bóng	ba˧˧ba˧˧ɤ̆p˦˥bɔŋ͡m˨˦
ba bà bốn chuyện	ba˧˧ba˧˨bon˨˦cwiən˨ˀ˩ʔ
ba bè bảy bối	ba˧˧bɛ˧˨băj˧˩˨boj˨˦
ba bè bảy mảng	ba˧˧bɛ˧˨băj˧˩˨maŋ˧˩˨
ba bè bảy mối	ba˧˧bɛ˧˨băj˧˩˨moj˨˦
ba bích	ba˧˧bik˦˥
ba bò chín trâu	ba˧˧bɔ˧˨cin˨˦cɤ̆w˧˧
ba bó một giạ	ba˧˧bɔ˨˦mot˨ˀ˩za˨ˀ˩ʔ
ba búa	ba˧˧buə˨˦
ba bảy	ba˧˧băj˧˩˨
ba bảy hai mươi mốt	ba˧˧băj˧˩˨haj˧˧mɯəj˧˧mot˦˥
ba bảy hăm mốt ngày	ba˧˧băj˧˩˨hăm˧˧mot˦˥ŋăj˧˨
ba bề bốn bên	ba˧˧be˧˨bon˨˦ben˧˧
ba bể	ba˧˧be˧˩˨
ba bị	ba˧˧bi˨ˀ˩ʔ
ba bị chín quai mười hai con mắt	ba˧˧bi˨ˀ˩ʔcin˨˦kwaj˧˧mɯəj˧˨haj˧˧kɔn˧˧măt˦˥
ba bớp	ba˧˧bɤp˦˥
ba bửa	ba˧˧bɯə˧˩˨
ba bữa cơm chín	ba˧˧bɯə˧ˀ˥kɤm˧˧cin˨˦
ba cha bảy mẹ	ba˧˧ca˧˧băj˧˩˨mɛ˨ˀ˩ʔ
ba chân	ba˧˧cɤ̆n˧˧
ba chân bốn cẳng	ba˧˧cɤ̆n˧˧bon˨˦kăŋ˧˩˨
ba chìm bảy nổi	ba˧˧cim˧˨băj˧˩˨noj˧˩˨
ba chùa	ba˧˧cuə˧˨
ba chúc	ba˧˧cuk͡p˦˥
ba chạc	ba˧˧cak˨ˀ˩
ba chấm	ba˧˧cɤ̆m˨˦
ba chẽ	ba˧˧cɛ˧ˀ˥
ba chỉ	ba˧˧ci˧˩˨
ba chốn bốn nơi	ba˧˧con˨˦bon˨˦nɤj˧˧
ba chốn đôi nơi	ba˧˧con˨˦doj˧˧nɤj˧˧
ba chớp bảy nhoáng	ba˧˧cɤp˦˥băj˧˩˨ɲwaŋ˨˦
ba chục	ba˧˧cuk͡p˨ˀ˩
ba cung	ba˧˧kuŋ͡m˧˧
ba cây	ba˧˧kɤ̆j˧˧
ba cùng	ba˧˧kuŋ͡m˧˨
ba cọc ba đồng	ba˧˧kɔk͡p˨ˀ˩ba˧˧doŋ͡m˧˨
ba cụm bắc	ba˧˧kum˨ˀ˩ʔbăk˦˥
ba cụm nam	ba˧˧kum˨ˀ˩ʔnam˧˧
ba dãy bảy khê	ba˧˧zăj˧ˀ˥băj˧˩˨xe˧˧
ba dãy bảy toà	ba˧˧zăj˧ˀ˥băj˧˩˨twa˧˨
ba gai	ba˧˧ɣaj˧˧
ba gai ba ngạnh	ba˧˧ɣaj˧˧ba˧˧ŋɛŋ˨ˀ˩ʔ
ba gai ba đồ	ba˧˧ɣaj˧˧ba˧˧do˧˨
ba giăng	ba˧˧zăŋ˧˧
ba giỏi	ba˧˧zɔj˧˩˨
ba gác	ba˧˧ɣak˦˥
ba gạc	ba˧˧ɣak˨ˀ˩
ba hoa	ba˧˧hwa˧˧
ba hoa chích choè	ba˧˧hwa˧˧cik˦˥cwe˧˨
ba hoa chích chòe	ba˧˧hwa˧˧cik˦˥cwe˧˨
ba hoa thiên tướng	ba˧˧hwa˧˧tʰiən˧˧tɯəŋ˨˦
ba hoa thiên địa	ba˧˧hwa˧˧tʰiən˧˧diə˨ˀ˩ʔ
ba hoa xích tốc	ba˧˧hwa˧˧sik˦˥tok͡p˦˥
ba hoa xích đế	ba˧˧hwa˧˧sik˦˥de˨˦
ba hàng	ba˧˧haŋ˧˨
ba hồi	ba˧˧hoj˧˨
ba hồn bảy vía	ba˧˧hon˧˨băj˧˩˨viə˨˦
ba hồn chín vía	ba˧˧hon˧˨cin˨˦viə˨˦
ba hột sức	ba˧˧hot˨ˀ˩sɯk˦˥
ba khan	ba˧˧xan˧˧
ba khía	ba˧˧xiə˨˦
ba không	ba˧˧xoŋ͡m˧˧
ba kích	ba˧˧kik˦˥
ba kỳ	ba˧˧ki˧˨
ba la	ba˧˧la˧˧
ba lai	ba˧˧laj˧˧
ba liên	ba˧˧liən˧˧
ba lo bảy liệu	ba˧˧lɔ˧˧băj˧˩˨liəw˨ˀ˩ʔ
ba làng an	ba˧˧laŋ˧˨an˧˧
